code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09660,地平线机器人-W,2024-11-20 00:00:00,4.13,4.12,4.24,4.07,0.0,0.00093,12090827,50058690.0,-0.24213075060532172,4.13
HK.09660,地平线机器人-W,2024-11-21 00:00:00,4.15,4.1,4.17,4.04,0.0,0.00074,9687783,39479207.0,-0.4854368932038947,4.12
HK.09660,地平线机器人-W,2024-11-22 00:00:00,4.07,3.8,4.1,3.78,0.0,0.00252,33281492,129034839.0,-7.317073170731704,4.1
HK.09660,地平线机器人-W,2024-11-25 00:00:00,3.84,4.19,4.32,3.83,0.0,0.00213,28062199,116697419.0,10.263157894736857,3.8
HK.09660,地平线机器人-W,2024-11-26 00:00:00,4.2,4.19,4.45,4.19,0.0,0.00181,23919651,103013502.0,0.0,4.19
HK.09660,地平线机器人-W,2024-11-27 00:00:00,4.2,4.17,4.23,4.04,0.0,0.00061,8053500,33259152.0,-0.477326968973758,4.19
HK.09660,地平线机器人-W,2024-11-28 00:00:00,4.19,4.14,4.2,4.08,0.0,0.00022,2872400,11910198.0,-0.7194244604316606,4.17
HK.09660,地平线机器人-W,2024-11-29 00:00:00,4.19,4.09,4.19,4.08,0.0,0.00043,5726400,23580432.0,-1.2077294685990296,4.14
HK.09660,地平线机器人-W,2024-12-02 00:00:00,4.14,4.24,4.43,4.14,0.0,0.00136,17962200,77078405.0,3.6674816625916957,4.09
HK.09660,地平线机器人-W,2024-12-03 00:00:00,4.24,4.09,4.24,3.99,0.0,0.00118,15512200,63158418.0,-3.537735849056612,4.24
HK.09660,地平线机器人-W,2024-12-04 00:00:00,4.33,4.23,4.36,4.17,0.0,0.00183,24197459,102751592.0,3.422982885085588,4.09
HK.09660,地平线机器人-W,2024-12-05 00:00:00,4.26,4.17,4.28,4.15,0.0,0.00061,8002200,33657110.0,-1.4184397163120683,4.23
HK.09660,地平线机器人-W,2024-12-06 00:00:00,4.2,4.11,4.22,4.08,0.0,0.0013,17181300,70725176.0,-1.4388489208633,4.17
HK.09660,地平线机器人-W,2024-12-09 00:00:00,4.11,4.1,4.11,3.99,0.0,0.00376,49601016,199463348.0,-0.24330900243310644,4.11
HK.09660,地平线机器人-W,2024-12-10 00:00:00,4.25,3.93,4.25,3.92,0.0,0.00292,38508468,154515402.0,-4.146341463414622,4.1
